,prova_b1,prova_b2,prova_b3,trab1_b1,trab1_b2,trab1_b3,trab2_b1,trab2_b2,trab2_b3,freq_b1,freq_b2,freq_b3,idade,serie,media_nota_b1_b3,media_freq_b1_b3,slope_nota,var_nota,resultado_final
0,6.5,5.9,4.8,0.2,0.1,0.7,0.3,0.3,0.8,77.7,84.2,51.0,13,6,6.533333333333334,70.96666666666667,-0.7000000000000002,0.16333333333333344,0
1,3.8,7.0,3.7,0.3,0.1,0.7,0.1,0.3,0.3,75.2,94.1,88.6,14,7,5.433333333333333,85.96666666666665,0.5000000000000009,2.963333333333331,1
2,5.9,6.8,5.6,0.2,0.9,0.1,0.4,0.1,0.5,59.7,60.2,58.5,11,6,6.833333333333333,59.46666666666667,-0.3000000000000016,0.7233333333333333,0
3,6.0,3.8,3.6,0.4,0.2,0.9,0.3,0.7,1.0,92.9,93.7,52.2,13,6,5.633333333333333,79.60000000000001,-1.2000000000000002,1.0133333333333332,0
4,5.1,3.7,7.7,0.1,0.8,0.6,0.7,0.0,0.7,83.8,53.0,82.7,13,7,6.466666666666666,73.16666666666667,3.0999999999999996,5.303333333333333,2
5,6.7,4.3,3.9,0.5,0.5,0.4,0.6,0.6,0.8,91.9,94.4,88.7,14,9,6.099999999999999,91.66666666666667,-2.7,2.19,1
6,7.7,4.8,4.3,0.1,0.1,0.8,0.4,0.9,0.4,92.9,66.5,90.7,11,9,6.5,83.36666666666667,-2.6999999999999993,2.1899999999999986,1
7,7.6,5.0,5.0,0.8,1.0,0.3,0.2,0.9,0.8,87.4,65.7,74.7,11,6,7.2,75.93333333333334,-2.5,1.63,0
8,5.3,6.4,4.9,0.2,0.2,0.7,1.0,0.4,0.0,72.0,75.6,60.3,13,7,6.366666666666667,69.3,-0.8999999999999995,0.5033333333333335,0
9,3.6,3.3,7.0,0.5,0.9,0.0,0.5,0.5,0.1,80.5,97.0,86.9,12,6,5.466666666666666,88.13333333333333,2.5,2.003333333333333,1
