id_aluno;idade;serie;prova_b1;trab1_b1;trab2_b1;freq_b1;prova_b2;trab1_b2;trab2_b2;freq_b2;prova_b3;trab1_b3;trab2_b3;freq_b3;prova_b4;trab1_b4;trab2_b4;freq_b4;nota_b1;nota_b2;nota_b3;nota_b4;nota_final;frequencia_final;resultado_final;media_nota_b1_b3;media_freq_b1_b3;slope_nota;var_nota;prob_reprovado;prob_recuperacao;prob_aprovado;score_risco;nivel_risco
1;13;6;6.5;0.2;0.3;77.7;5.9;0.1;0.3;84.2;4.8;0.7;0.8;51.0;3.9;0.2;0.7;77.9;7.0;6.3;6.3;4.8;6.1000000000000005;72.7;Reprovado;6.533333333333334;70.96666666666667;-0.7000000000000002;0.1633333333333334;0.89;0.09;0.02;93.5;Alto Risco
2;14;7;3.8;0.3;0.1;75.2;7.0;0.1;0.3;94.1;3.7;0.7;0.3;88.6;4.4;0.4;0.1;52.9;4.199999999999999;7.399999999999999;4.7;4.9;5.299999999999999;77.69999999999999;Recuperação;5.433333333333333;85.96666666666665;0.5000000000000009;2.963333333333331;0.06;0.935;0.005;52.75;Risco Moderado
3;11;6;5.9;0.2;0.4;59.7;6.8;0.9;0.1;60.2;5.6;0.1;0.5;58.5;3.8;0.6;0.2;84.8;6.500000000000001;7.8;6.199999999999999;4.6;6.275;65.8;Reprovado;6.833333333333333;59.46666666666667;-0.3000000000000016;0.7233333333333333;0.98;0.01;0.01;98.5;Alto Risco
4;13;6;6.0;0.4;0.3;92.9;3.8;0.2;0.7;93.7;3.6;0.9;1.0;52.2;4.0;0.8;0.8;52.6;6.7;4.7;5.5;5.6;5.625;72.85000000000001;Reprovado;5.633333333333333;79.60000000000001;-1.2000000000000002;1.0133333333333332;0.81;0.175;0.015;89.75;Alto Risco
5;13;7;5.1;0.1;0.7;83.8;3.7;0.8;0.0;53.0;7.7;0.6;0.7;82.7;7.9;0.9;0.5;90.9;5.9;4.5;9.0;9.3;7.175;77.6;Aprovado;6.466666666666666;73.16666666666667;3.1;5.303333333333333;0.12;0.125;0.755;18.25;Baixo Risco
6;14;9;6.7;0.5;0.6;91.9;4.3;0.5;0.6;94.4;3.9;0.4;0.8;88.7;3.8;0.9;0.9;91.2;7.8;5.4;5.1;5.6000000000000005;5.975;91.55;Recuperação;6.099999999999999;91.66666666666669;-2.7;2.19;0.015;0.965;0.02;49.75;Risco Moderado
7;11;9;7.7;0.1;0.4;92.9;4.8;0.1;0.9;66.5;4.3;0.8;0.4;90.7;4.3;0.8;0.4;61.9;8.2;5.8;5.5;5.5;6.25;78.0;Recuperação;6.5;83.36666666666667;-2.6999999999999997;2.1899999999999986;0.075;0.905;0.02;52.75;Risco Moderado
8;11;6;7.6;0.8;0.2;87.4;5.0;1.0;0.9;65.7;5.0;0.3;0.8;74.7;6.0;0.2;0.9;66.2;8.6;6.9;6.1;7.1000000000000005;7.175000000000001;73.5;Reprovado;7.2;75.93333333333334;-2.5;1.63;0.815;0.13;0.055;88.0;Alto Risco
9;13;7;5.3;0.2;1.0;72.0;6.4;0.2;0.4;75.6;4.9;0.7;0.0;60.3;6.1;0.0;0.4;74.1;6.5;7.000000000000001;5.6000000000000005;6.5;6.4;70.5;Reprovado;6.366666666666667;69.3;-0.8999999999999995;0.5033333333333335;0.95;0.045;0.005;97.25;Alto Risco
10;12;6;3.6;0.5;0.5;80.5;3.3;0.9;0.5;97.0;7.0;0.0;0.1;86.9;3.8;0.4;1.0;79.8;4.6;4.7;7.1;5.2;5.4;86.05;Recuperação;5.466666666666666;88.13333333333333;2.5;2.003333333333333;0.05;0.93;0.02;51.5;Risco Moderado
11;13;8;7.9;0.9;0.7;58.0;3.2;0.2;0.1;52.4;5.3;0.8;0.2;85.0;7.0;0.1;1.0;64.4;9.5;3.5000000000000004;6.3;8.1;6.85;64.95;Reprovado;6.433333333333334;65.13333333333334;-3.2;9.013333333333332;0.905;0.065;0.03;93.75;Alto Risco
12;13;8;7.2;0.7;0.1;83.7;5.0;0.9;0.7;67.6;3.9;0.4;0.4;62.3;6.9;0.7;0.3;79.6;8.0;6.6000000000000005;4.7;7.9;6.800000000000001;73.30000000000001;Reprovado;6.433333333333334;71.2;-3.3;2.743333333333333;0.95;0.04;0.01;97.0;Alto Risco
13;13;6;3.6;0.5;0.5;59.0;6.5;0.0;0.8;92.8;4.3;0.6;0.8;95.2;4.2;0.7;0.9;64.9;4.6;7.3;5.699999999999999;5.800000000000001;5.85;77.975;Recuperação;5.866666666666666;82.33333333333333;1.0999999999999996;1.8433333333333333;0.045;0.94;0.015;51.5;Risco Moderado
