id_aluno,idade,serie,prova_b1,trab1_b1,trab2_b1,freq_b1,prova_b2,trab1_b2,trab2_b2,freq_b2,prova_b3,trab1_b3,trab2_b3,freq_b3,prova_b4,trab1_b4,trab2_b4,freq_b4,nota_b1,nota_b2,nota_b3,nota_b4,nota_final,frequencia_final,resultado_final
1,13,6,6.5,0.2,0.3,77.7,5.9,0.1,0.3,84.2,4.8,0.7,0.8,51.0,3.9,0.2,0.7,77.9,7.0,6.3,6.3,4.8,6.1000000000000005,72.7,Reprovado
2,14,7,3.8,0.3,0.1,75.2,7.0,0.1,0.3,94.1,3.7,0.7,0.3,88.6,4.4,0.4,0.1,52.9,4.199999999999999,7.3999999999999995,4.7,4.9,5.299999999999999,77.69999999999999,Recuperação
3,11,6,5.9,0.2,0.4,59.7,6.8,0.9,0.1,60.2,5.6,0.1,0.5,58.5,3.8,0.6,0.2,84.8,6.500000000000001,7.8,6.199999999999999,4.6,6.275,65.8,Reprovado
4,13,6,6.0,0.4,0.3,92.9,3.8,0.2,0.7,93.7,3.6,0.9,1.0,52.2,4.0,0.8,0.8,52.6,6.7,4.7,5.5,5.6,5.625,72.85000000000001,Reprovado
5,13,7,5.1,0.1,0.7,83.8,3.7,0.8,0.0,53.0,7.7,0.6,0.7,82.7,7.9,0.9,0.5,90.9,5.8999999999999995,4.5,9.0,9.3,7.175,77.6,Aprovado
6,14,9,6.7,0.5,0.6,91.9,4.3,0.5,0.6,94.4,3.9,0.4,0.8,88.7,3.8,0.9,0.9,91.2,7.8,5.3999999999999995,5.1,5.6000000000000005,5.975,91.55,Recuperação
7,11,9,7.7,0.1,0.4,92.9,4.8,0.1,0.9,66.5,4.3,0.8,0.4,90.7,4.3,0.8,0.4,61.9,8.2,5.8,5.5,5.5,6.25,78.0,Recuperação
8,11,6,7.6,0.8,0.2,87.4,5.0,1.0,0.9,65.7,5.0,0.3,0.8,74.7,6.0,0.2,0.9,66.2,8.6,6.9,6.1,7.1000000000000005,7.175000000000001,73.5,Reprovado
9,13,7,5.3,0.2,1.0,72.0,6.4,0.2,0.4,75.6,4.9,0.7,0.0,60.3,6.1,0.0,0.4,74.1,6.5,7.000000000000001,5.6000000000000005,6.5,6.4,70.5,Reprovado
10,12,6,3.6,0.5,0.5,80.5,3.3,0.9,0.5,97.0,7.0,0.0,0.1,86.9,3.8,0.4,1.0,79.8,4.6,4.7,7.1,5.2,5.3999999999999995,86.05,Recuperação
11,13,8,7.9,0.9,0.7,58.0,3.2,0.2,0.1,52.4,5.3,0.8,0.2,85.0,7.0,0.1,1.0,64.4,9.5,3.5000000000000004,6.3,8.1,6.85,64.95,Reprovado
12,13,8,7.2,0.7,0.1,83.7,5.0,0.9,0.7,67.6,3.9,0.4,0.4,62.3,6.9,0.7,0.3,79.6,8.0,6.6000000000000005,4.7,7.9,6.800000000000001,73.30000000000001,Reprovado
13,13,6,3.6,0.5,0.5,59.0,6.5,0.0,0.8,92.8,4.3,0.6,0.8,95.2,4.2,0.7,0.9,64.9,4.6,7.3,5.699999999999999,5.800000000000001,5.85,77.975,Recuperação
14,13,9,7.6,0.3,0.0,84.7,4.0,0.5,0.2,69.8,5.5,0.2,0.3,55.2,4.4,0.0,0.8,52.8,7.8999999999999995,4.7,6.0,5.2,5.95,65.625,Reprovado
15,14,9,7.3,0.3,0.5,61.5,6.2,0.8,0.4,60.0,3.7,0.7,0.7,99.1,7.7,0.8,0.2,50.1,8.1,7.4,5.1000000000000005,8.7,7.325,67.675,Reprovado
16,11,6,5.6,0.7,1.0,55.9,4.3,0.9,0.8,71.2,6.1,0.8,0.7,93.0,7.1,0.2,0.6,55.1,7.3,6.0,7.6,7.8999999999999995,7.199999999999999,68.8,Reprovado
17,14,6,6.0,1.0,0.4,58.3,7.4,0.9,0.9,69.3,5.8,0.5,0.6,84.4,6.5,0.4,0.1,89.6,7.4,9.200000000000001,6.8999999999999995,7.0,7.625,75.4,Aprovado
18,14,8,5.0,0.7,0.0,50.1,7.5,0.8,0.2,95.8,6.6,0.6,0.4,96.9,3.4,0.7,0.8,98.1,5.7,8.5,7.6,4.8999999999999995,6.674999999999999,85.225,Recuperação
19,14,9,3.3,0.6,0.0,85.9,4.5,0.9,0.6,88.1,7.7,0.5,0.6,86.1,5.1,0.4,0.2,71.3,3.9,6.0,8.799999999999999,5.7,6.1,82.85000000000001,Recuperação
20,13,6,4.7,0.7,0.4,86.6,4.1,0.2,0.2,75.3,7.6,0.9,0.3,59.5,5.8,0.4,0.1,75.6,5.800000000000001,4.5,8.8,6.3,6.3500000000000005,74.25,Reprovado
21,12,8,7.0,0.5,0.2,75.7,5.1,0.3,0.1,99.4,7.7,0.5,0.1,72.1,3.9,0.1,0.4,57.3,7.7,5.499999999999999,8.299999999999999,4.4,6.475,76.125,Recuperação
22,11,9,3.0,0.1,0.0,58.1,4.2,0.3,0.9,73.3,4.2,0.8,1.0,53.6,5.2,0.4,0.6,77.6,3.1,5.4,6.0,6.2,5.175,65.65,Reprovado
23,12,7,4.7,0.6,0.8,54.2,6.4,0.4,0.8,52.9,3.7,0.8,0.1,69.5,6.0,0.8,0.9,57.2,6.1,7.6000000000000005,4.6,7.7,6.499999999999999,58.45,Reprovado
24,14,8,5.0,1.0,0.5,51.0,7.1,0.4,0.8,63.1,4.5,0.4,0.1,87.1,4.6,0.9,1.0,80.6,6.5,8.3,5.0,6.5,6.575,70.44999999999999,Reprovado
25,14,9,5.7,0.2,0.3,58.3,6.4,0.5,0.0,71.8,7.5,0.2,0.9,69.3,6.9,0.4,0.4,96.7,6.2,6.9,8.6,7.700000000000001,7.350000000000001,74.02499999999999,Reprovado
26,12,9,7.6,0.7,0.9,94.5,7.1,0.2,0.8,57.8,7.9,0.4,0.3,66.5,7.2,0.4,0.1,59.8,9.2,8.1,8.600000000000001,7.7,8.4,69.65,Reprovado
27,12,8,4.7,0.2,0.1,62.1,5.0,0.7,0.4,97.4,7.3,0.8,0.7,79.8,4.6,0.7,0.7,88.2,5.0,6.1000000000000005,8.799999999999999,6.0,6.475,81.875,Recuperação
28,12,7,4.7,0.5,1.0,67.7,3.8,0.2,0.3,88.3,3.6,0.2,0.3,93.6,7.2,0.9,0.6,51.2,6.2,4.3,4.1000000000000005,8.7,5.825,75.2,Recuperação
29,14,8,6.7,0.1,0.3,55.3,6.7,0.3,0.5,63.4,7.7,0.5,0.4,52.4,3.5,0.3,0.4,68.8,7.1,7.5,8.6,4.2,6.85,59.974999999999994,Reprovado
30,14,9,5.3,0.5,0.9,61.1,4.8,0.5,0.1,79.5,5.1,0.8,0.3,69.3,7.2,0.4,0.3,55.5,6.7,5.3999999999999995,6.199999999999999,7.9,6.549999999999999,66.35,Reprovado
31,11,6,4.1,0.8,0.6,76.0,6.4,0.8,0.8,86.1,3.0,0.4,0.3,57.9,3.8,0.8,0.5,67.6,5.499999999999999,8.0,3.6999999999999997,5.1,5.574999999999999,71.9,Reprovado
32,11,6,5.3,0.3,0.8,80.4,4.4,0.7,0.6,97.1,5.2,0.6,0.4,84.8,3.4,0.6,0.3,58.7,6.3999999999999995,5.7,6.2,4.3,5.65,80.25,Recuperação
33,14,8,3.7,0.7,1.0,62.3,3.4,0.6,0.2,94.1,3.2,0.2,0.7,55.3,6.2,0.1,0.8,68.7,5.4,4.2,4.1000000000000005,7.1,5.200000000000001,70.1,Reprovado
34,12,9,3.9,0.8,0.3,52.9,8.0,0.2,0.2,75.8,5.7,0.1,0.5,83.2,5.4,0.6,0.5,70.9,5.0,8.399999999999999,6.3,6.5,6.55,70.69999999999999,Reprovado
35,12,6,5.5,0.9,1.0,69.6,3.8,0.5,0.2,88.7,4.7,0.8,0.9,64.3,7.5,0.2,0.9,65.0,7.4,4.5,6.4,8.6,6.725,71.9,Reprovado
36,11,9,5.1,0.2,0.4,61.7,7.9,0.1,0.1,78.1,5.4,0.1,0.0,59.9,4.8,0.5,0.5,82.8,5.7,8.1,5.5,5.8,6.275,70.625,Reprovado
37,14,8,7.6,0.4,0.4,61.0,7.9,0.4,0.6,77.6,6.1,0.3,0.5,96.8,4.4,0.5,0.2,95.9,8.4,8.9,6.8999999999999995,5.1000000000000005,7.325,82.82499999999999,Aprovado
38,11,6,4.8,0.2,0.3,98.0,7.0,0.4,0.8,55.7,7.3,0.9,0.6,50.9,5.5,0.9,0.9,70.0,5.3,8.200000000000001,8.799999999999999,7.300000000000001,7.3999999999999995,68.65,Reprovado
39,11,9,5.9,1.0,0.5,80.8,6.3,0.0,0.0,56.3,6.3,0.3,0.9,71.9,5.3,0.5,0.6,59.6,7.4,6.3,7.5,6.3999999999999995,6.8999999999999995,67.15,Reprovado
40,13,6,6.2,0.9,0.2,77.8,5.9,0.3,0.0,76.5,5.2,1.0,0.0,51.1,4.7,0.3,0.2,63.5,7.300000000000001,6.2,6.2,5.2,6.225,67.225,Reprovado
41,13,8,3.1,0.5,0.6,70.8,7.3,1.0,0.6,63.4,7.1,1.0,0.6,74.2,6.5,0.2,0.6,92.7,4.2,8.9,8.7,7.3,7.275,75.27499999999999,Aprovado
42,13,9,6.3,0.8,0.5,71.4,4.4,1.0,0.8,51.1,7.5,0.3,0.9,75.1,6.8,0.9,0.4,78.6,7.6,6.2,8.7,8.1,7.65,69.05,Reprovado
43,12,6,3.9,0.5,0.8,77.0,5.3,0.4,0.3,86.1,3.6,0.0,0.2,66.1,7.3,0.2,0.8,72.8,5.2,6.0,3.8000000000000003,8.3,5.825,75.5,Recuperação
44,14,8,7.8,0.6,0.8,84.8,6.1,0.0,0.3,51.6,5.7,0.7,0.9,56.6,7.9,0.4,0.5,57.5,9.200000000000001,6.3999999999999995,7.300000000000001,8.8,7.925000000000001,62.625,Reprovado
45,14,6,3.7,0.1,0.4,85.1,5.1,0.2,0.6,79.8,4.4,0.5,0.0,68.8,4.3,0.2,0.7,72.5,4.2,5.8999999999999995,4.9,5.2,5.05,76.55,Recuperação
46,14,6,5.1,0.8,0.3,58.6,5.1,0.4,0.3,77.0,3.2,0.1,0.7,83.6,6.6,0.8,0.1,63.9,6.199999999999999,5.8,4.0,7.499999999999999,5.875,70.77499999999999,Reprovado
